New York (Central Park), New York January Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
199901,34.2,0.5
200001,31.6,-2.2
200101,33.9,0.2
200201,40.2,6.5
200301,27.8,-5.9
200401,25.0,-8.7
200501,31.6,-2.1
200601,41.1,7.4
200701,37.7,4.0
200801,36.8,3.1
200901,28.2,-5.5
201001,33.0,-0.7
201101,30.2,-3.5
201201,37.8,4.1
201301,35.6,1.9
201401,28.7,-5.0
201501,30.0,-3.7
201601,34.5,0.8
201701,38.1,4.4
201801,31.8,-1.9
201901,32.6,-1.1
202001,39.2,5.5
202101,34.8,1.1
202201,30.4,-3.3
202301,43.5,9.8
